32,32,3,3,3,24,1,1
16,16,24,1,1,48,0,1
16,16,48,3,3,12,0,1
16,16,36,1,1,48,0,1
16,16,48,3,3,12,0,1
16,16,48,1,1,48,0,1
16,16,48,3,3,12,0,1
16,16,60,1,1,48,0,1
16,16,48,3,3,12,0,1
16,16,72,1,1,48,0,1
16,16,48,3,3,12,0,1
16,16,84,1,1,48,0,1
16,16,48,3,3,12,0,1
16,16,96,1,1,48,1,1
8,8,48,1,1,48,0,1
8,8,48,3,3,12,0,1
8,8,60,1,1,48,0,1
8,8,48,3,3,12,0,1
8,8,72,1,1,48,0,1
8,8,48,3,3,12,0,1
8,8,84,1,1,48,0,1
8,8,48,3,3,12,0,1
8,8,96,1,1,48,0,1
8,8,48,3,3,12,0,1
8,8,108,1,1,48,0,1
8,8,48,3,3,12,0,1
8,8,120,1,1,60,1,1
4,4,60,1,1,48,0,1
4,4,48,3,3,12,0,1
4,4,72,1,1,48,0,1
4,4,48,3,3,12,0,1
4,4,84,1,1,48,0,1
4,4,48,3,3,12,0,1
4,4,96,1,1,48,0,1
4,4,48,3,3,12,0,1
4,4,108,1,1,48,0,1
4,4,48,3,3,12,0,1
4,4,120,1,1,48,0,1
4,4,48,3,3,12,0,1
1,1,132,1,1,10,0,1
